selection,mutation,pop_size,gens,time,best_pop
elitist,0.2,5,50,0.14120984077453613,4265164.3566
elitist,0.2,5,100,0.28822994232177734,2234125.64475
elitist,0.2,5,150,0.3995788097381592,3550494.62697
elitist,0.2,5,200,0.522345781326294,4116382.54117
elitist,0.2,5,250,0.6458723545074463,2097761.99317
elitist,0.2,5,300,0.8209571838378906,2962402.76411
elitist,0.2,5,350,0.9117567539215088,3979760.75474
elitist,0.2,5,400,1.0651395320892334,3995803.50194
elitist,0.2,5,450,1.2112090587615967,4975506.57829
elitist,0.2,5,500,1.3671953678131104,3321140.72233
elitist,0.2,10,50,0.2626800537109375,4219928.97385
elitist,0.2,10,100,0.510577917098999,3026363.33192
elitist,0.2,10,150,0.7674117088317871,4557555.55444
elitist,0.2,10,200,1.0428602695465088,3177305.00223
elitist,0.2,10,250,1.2896573543548584,4927495.7937
elitist,0.2,10,300,1.626692533493042,4984078.00435
elitist,0.2,10,350,1.8557393550872803,4002402.94114
elitist,0.2,10,400,2.11921763420105,4968603.05714
elitist,0.2,10,450,2.410649299621582,4989376.60175
elitist,0.2,10,500,2.6736807823181152,4014906.16509
elitist,0.2,15,50,0.3852529525756836,3994961.23148
elitist,0.2,15,100,0.7689712047576904,4954768.12361
elitist,0.2,15,150,1.165452480316162,3990609.04013
elitist,0.2,15,200,1.549074649810791,3224744.29446
elitist,0.2,15,250,2.0138885974884033,4982648.82941
elitist,0.2,15,300,2.4124386310577393,4989169.83316
elitist,0.2,15,350,2.7516913414001465,4989141.12093
elitist,0.2,15,400,3.2108490467071533,4985821.76121
elitist,0.2,15,450,3.526219129562378,3188050.33168
elitist,0.2,15,500,3.95947527885437,4480148.309
elitist,0.2,20,50,0.5066730976104736,3994078.90618
elitist,0.2,20,100,1.0316040515899658,3076833.46185
elitist,0.2,20,150,1.5804543495178223,4980740.37073
elitist,0.2,20,200,2.09940505027771,4569398.93302
elitist,0.2,20,250,2.7018375396728516,3976916.05772
elitist,0.2,20,300,3.148838758468628,3567323.6259
elitist,0.2,20,350,3.6645925045013428,4969533.59024
elitist,0.2,20,400,4.238849639892578,4032256.0652
elitist,0.2,20,450,4.836208343505859,4186160.09531
elitist,0.2,20,500,5.225364446640015,4951982.33163
elitist,0.2,25,50,0.6445209980010986,4985194.07488
elitist,0.2,25,100,1.2956440448760986,3137146.21669
elitist,0.2,25,150,1.9552528858184814,4284675.59247
elitist,0.2,25,200,2.6014974117279053,4615082.50278
elitist,0.2,25,250,3.285435438156128,4093861.69822
elitist,0.2,25,300,3.9969139099121094,3996140.27694
elitist,0.2,25,350,4.633476972579956,4985523.47277
elitist,0.2,25,400,5.306842803955078,4992994.0595
elitist,0.2,25,450,5.8662073612213135,4024675.60521
elitist,0.2,25,500,6.63891863822937,4981428.42515
elitist,0.2,30,50,0.7867481708526611,4027661.55697
elitist,0.2,30,100,1.596914529800415,4982059.32672
elitist,0.2,30,150,2.4185335636138916,4969207.36616
elitist,0.2,30,200,3.2631492614746094,4997562.1523
elitist,0.2,30,250,4.157892227172852,4998100.51969
elitist,0.2,30,300,4.911128759384155,4987507.86439
elitist,0.2,30,350,5.730306148529053,4996079.35494
elitist,0.2,30,400,6.549159049987793,4991435.44917
elitist,0.2,30,450,7.275454998016357,3275306.86406
elitist,0.2,30,500,8.195582389831543,4032676.21358
elitist,0.2,35,50,0.9329409599304199,4226814.44322
elitist,0.2,35,100,1.9011943340301514,4973087.19162
elitist,0.2,35,150,2.8253326416015625,4017292.20125
elitist,0.2,35,200,3.7021288871765137,4188366.39535
elitist,0.2,35,250,4.840938329696655,4998608.84699
elitist,0.2,35,300,5.606486797332764,4716213.11449
elitist,0.2,35,350,6.7559895515441895,4994931.74232
elitist,0.2,35,400,7.674405336380005,4992858.90908
elitist,0.2,35,450,8.75911545753479,4992660.67381
elitist,0.2,35,500,9.444347858428955,4999279.18724
elitist,0.2,40,50,1.0642149448394775,4998031.15593
elitist,0.2,40,100,2.14957594871521,4998194.24487
elitist,0.2,40,150,3.279937505722046,3999356.42515
elitist,0.2,40,200,4.246716022491455,4994891.16878
elitist,0.2,40,250,5.357611656188965,4991444.37087
elitist,0.2,40,300,6.476551055908203,4998093.20243
elitist,0.2,40,350,7.484106063842773,4996766.23927
elitist,0.2,40,400,8.528771877288818,4980342.29913
elitist,0.2,40,450,9.510411977767944,4005102.51641
elitist,0.2,40,500,11.040438890457153,4997168.79579
elitist,0.2,45,50,1.189969778060913,4984963.03658
elitist,0.2,45,100,2.3691153526306152,4988363.86884
elitist,0.2,45,150,3.5820319652557373,4989124.1279
elitist,0.2,45,200,4.728508472442627,3664617.71728
elitist,0.2,45,250,6.04865574836731,4997098.53948
elitist,0.2,45,300,7.354287147521973,4996818.92695
elitist,0.2,45,350,8.408092737197876,4034969.93468
elitist,0.2,45,400,9.72018837928772,4994824.20051
elitist,0.2,45,450,10.960933923721313,4997214.56747
elitist,0.2,45,500,12.188627481460571,4994771.5282
elitist,0.2,50,50,1.3052144050598145,4994659.81973
elitist,0.2,50,100,2.5985028743743896,4990097.10031
elitist,0.2,50,150,3.966897487640381,4009315.99299
elitist,0.2,50,200,5.415062427520752,4995779.68684
elitist,0.2,50,250,6.6756744384765625,4994588.75113
elitist,0.2,50,300,8.112174987792969,4997147.62309
elitist,0.2,50,350,9.470428705215454,4996670.93383
elitist,0.2,50,400,11.11645245552063,4999201.98275
elitist,0.2,50,450,12.390979290008545,4997861.01572
elitist,0.2,50,500,14.273852586746216,4997794.87393
elitist,adaptive,5,50,0.15710186958312988,4990399.23139
elitist,adaptive,5,100,0.30359935760498047,4999995.18336
elitist,adaptive,5,150,11779.982882499695,4901269.62385
elitist,adaptive,5,200,0.5774714946746826,5000000.0
elitist,adaptive,5,250,0.717994213104248,4999999.2394
elitist,adaptive,5,300,0.8613085746765137,5000000.0
elitist,adaptive,5,350,1.0033116340637207,4999999.98911
elitist,adaptive,5,400,1.1544549465179443,4999999.99896
elitist,adaptive,5,450,14.53959584236145,4415405.78572
elitist,adaptive,5,500,1.4404597282409668,5000000.0
elitist,adaptive,10,50,0.2935805320739746,4999840.53671
elitist,adaptive,10,100,0.5742685794830322,4999999.99999
elitist,adaptive,10,150,0.8601102828979492,4999999.99999
elitist,adaptive,10,200,1.1450536251068115,5000000.0
elitist,adaptive,10,250,1.4374761581420898,5000000.0
elitist,adaptive,10,300,1.7229375839233398,5000000.0
elitist,adaptive,10,350,6.47450065612793,5000000.0
elitist,adaptive,10,400,2.2858774662017822,5000000.0
elitist,adaptive,10,450,2.625342845916748,5000000.0
elitist,adaptive,10,500,2.8609731197357178,5000000.0
elitist,adaptive,15,50,0.4360816478729248,4999959.81862
elitist,adaptive,15,100,0.8618330955505371,5000000.0
elitist,adaptive,15,150,1.3383400440216064,5000000.0
elitist,adaptive,15,200,1.7175066471099854,5000000.0
elitist,adaptive,15,250,2.1561007499694824,5000000.0
elitist,adaptive,15,300,2.580146551132202,5000000.0
elitist,adaptive,15,350,2.9989333152770996,5000000.0
elitist,adaptive,15,400,3.41473126411438,5000000.0
elitist,adaptive,15,450,4.083878993988037,5000000.0
elitist,adaptive,15,500,4.268271207809448,5000000.0
elitist,adaptive,20,50,0.6001083850860596,4999994.90126
elitist,adaptive,20,100,1.148409128189087,4999999.99998
elitist,adaptive,20,150,1.7252349853515625,5000000.0
elitist,adaptive,20,200,2.289644718170166,5000000.0
elitist,adaptive,20,250,2.8679802417755127,5000000.0
elitist,adaptive,20,300,3.462225914001465,5000000.0
elitist,adaptive,20,350,3.99741268157959,5000000.0
elitist,adaptive,20,400,4.573740482330322,5000000.0
elitist,adaptive,20,450,5.1468665599823,5000000.0
elitist,adaptive,20,500,5.757858037948608,5000000.0
elitist,adaptive,25,50,0.7428770065307617,4999999.28426
elitist,adaptive,25,100,1.4352827072143555,5000000.0
elitist,adaptive,25,150,2.199108839035034,5000000.0
elitist,adaptive,25,200,2.9188363552093506,5000000.0
elitist,adaptive,25,250,3.7842085361480713,5000000.0
elitist,adaptive,25,300,4.278034687042236,5000000.0
elitist,adaptive,25,350,5.054819822311401,5000000.0
elitist,adaptive,25,400,5.710698127746582,5000000.0
elitist,adaptive,25,450,6.439738988876343,5000000.0
elitist,adaptive,25,500,7.135090112686157,5000000.0
elitist,adaptive,30,50,0.8669898509979248,4999999.91178
elitist,adaptive,30,100,1.8103513717651367,5000000.0
elitist,adaptive,30,150,2.569040060043335,5000000.0
elitist,adaptive,30,200,3.4384381771087646,5000000.0
elitist,adaptive,30,250,4.362151145935059,5000000.0
elitist,adaptive,30,300,5.208835124969482,5000000.0
elitist,adaptive,30,350,5.99772310256958,5000000.0
elitist,adaptive,30,400,7.008566856384277,5000000.0
elitist,adaptive,30,450,7.770385026931763,5000000.0
elitist,adaptive,30,500,8.625917196273804,5000000.0
elitist,adaptive,35,50,1.01495361328125,4999999.98319
elitist,adaptive,35,100,2.015695810317993,5000000.0
elitist,adaptive,35,150,3.010289430618286,5000000.0
elitist,adaptive,35,200,4.053952217102051,5000000.0
elitist,adaptive,35,250,5.1670708656311035,5000000.0
elitist,adaptive,35,300,6.028382301330566,5000000.0
elitist,adaptive,35,350,7.014523983001709,5000000.0
elitist,adaptive,35,400,8.402437925338745,5000000.0
elitist,adaptive,35,450,9.087404489517212,5000000.0
